SACK,WINDOW SIZE,CONG WINDOW SCHEME,LINK DELAY,LINK DROP,SPEED,TIME
0,16,reno,2,0.5,3.062,0.74
0,16,reno,2,5.0,3.384,0.58
0,16,reno,50,0.5,1.379265625,1.78
0,16,reno,50,5.0,1.5,1.38
0,16,cubic,2,0.5,2.83,0.76
0,16,cubic,2,5.0,2.194,1.06
0,16,cubic,50,0.5,0.9813125,2.64
0,16,cubic,50,5.0,1.702,1.24
0,256,reno,2,0.5,2.15,1.06
0,256,reno,2,5.0,2.1559296875,1.12
0,256,reno,50,0.5,1.838,1.08
0,256,reno,50,5.0,2.026,0.96
0,256,cubic,2,0.5,4.176,0.46
0,256,cubic,2,5.0,4.008,0.5
0,256,cubic,50,0.5,1.936,1.02
0,256,cubic,50,5.0,1.818,1.08
1,16,reno,2,0.5,4.526,0.42
1,16,reno,2,5.0,4.216,0.48
1,16,reno,50,0.5,1.918,1.0
1,16,reno,50,5.0,1.896,1.04
1,16,cubic,2,0.5,4.32,0.46
1,16,cubic,2,5.0,3.658,0.54
1,16,cubic,50,0.5,1.766,1.12
1,16,cubic,50,5.0,1.84,1.06
1,256,reno,2,0.5,3.692,0.52
1,256,reno,2,5.0,4.124,0.48
1,256,reno,50,0.5,1.87,1.04
1,256,reno,50,5.0,1.778,1.12
1,256,cubic,2,0.5,4.294,0.48
1,256,cubic,2,5.0,3.85,0.5
1,256,cubic,50,0.5,1.5505078125,1.52
1,256,cubic,50,5.0,1.766,1.1
