SACK,WINDOW SIZE,CONG WINDOW SCHEME,LINK DELAY,LINK DROP,SPEED,TIME
0,16,reno,2,0.5,2.814,0.36
0,16,reno,2,5.0,2.308,0.48
0,16,reno,50,0.5,1.07434375,0.94
0,16,reno,50,5.0,1.11,0.86
0,16,cubic,2,0.5,1.662,0.58
0,16,cubic,2,5.0,2.45,0.46
0,16,cubic,50,0.5,0.8248359375,1.54
0,16,cubic,50,5.0,1.121046875,0.88
0,256,reno,2,0.5,2.86,0.32
0,256,reno,2,5.0,1.857671875,0.62
0,256,reno,50,0.5,1.284,0.76
0,256,reno,50,5.0,1.282,0.76
0,256,cubic,2,0.5,3.584,0.3
0,256,cubic,2,5.0,3.616,0.28
0,256,cubic,50,0.5,1.188,0.8
0,256,cubic,50,5.0,1.278,0.76
1,16,reno,2,0.5,3.598,0.3
1,16,reno,2,5.0,3.512,0.3
1,16,reno,50,0.5,1.184,0.84
1,16,reno,50,5.0,1.232,0.82
1,16,cubic,2,0.5,3.552,0.3
1,16,cubic,2,5.0,3.692,0.28
1,16,cubic,50,0.5,1.04221875,0.96
1,16,cubic,50,5.0,1.0319765625,0.98
1,256,reno,2,0.5,3.352,0.3
1,256,reno,2,5.0,2.866,0.36
1,256,reno,50,0.5,1.0605078125,0.94
1,256,reno,50,5.0,1.142,0.86
1,256,cubic,2,0.5,3.43,0.32
1,256,cubic,2,5.0,3.452,0.3
1,256,cubic,50,0.5,1.258,0.78
1,256,cubic,50,5.0,1.16740625,0.82
