Forwarding Table for Node 2 at TIME_STEP 0:
Destination	Path	Cost
0		[1, 0]	12
1		[1]	7
3		[3]	1
4		[3, 7, 4]	15
5		[3, 8, 6, 5]	19
6		[3, 8, 6]	12
7		[3, 7]	5
8		[3, 8]	2
9		[3, 8, 12, 9]	4
10		[3, 8, 12, 9, 10]	13
11		[3, 8, 12, 9, 11]	8
12		[3, 8, 12]	3
13		[13]	7
14		[13, 14]	15
15		[13, 15]	12
16		[13, 16]	10
17		[13, 15, 17]	13
18		[13, 16, 18]	19
19		[1, 0, 19]	14


Forwarding Table for Node 2 at TIME_STEP 1:
Destination	Path	Cost
0		[1, 0]	17
1		[1]	7
3		[3]	1
4		[3, 7, 4]	15
5		[3, 7, 4, 5]	16
6		[3, 8, 6]	10
7		[3, 7]	6
8		[3, 8]	6
9		[3, 8, 9]	15
10		[3, 8, 9, 10]	25
11		[3, 8, 9, 11]	16
12		[3, 8, 12]	13
13		[13]	9
14		[13, 14]	17
15		[13, 15]	19
16		[13, 16]	15
17		[13, 15, 17]	28
18		[13, 16, 18]	19
19		[1, 0, 19]	18


Forwarding Table for Node 2 at TIME_STEP 2:
Destination	Path	Cost
0		[1, 0]	11
1		[1]	2
3		[3]	2
4		[7, 4]	14
5		[8, 6, 5]	14
6		[8, 6]	10
7		[7]	6
8		[8]	4
9		[8, 9]	9
10		[8, 9, 10]	19
11		[8, 9, 11]	17
12		[8, 12]	5
13		[13]	5
14		[13, 14]	8
15		[13, 15]	14
16		[13, 16]	15
17		[13, 15, 17]	22
18		[13, 16, 18]	24
19		[1, 0, 19]	17


Forwarding Table for Node 2 at TIME_STEP 3:
Destination	Path	Cost
0		[1, 0]	11
1		[1]	9
3		[3]	2
4		[7, 4]	7
5		[8, 6, 5]	13
6		[8, 6]	8
7		[7]	5
8		[8]	6
9		[8, 9]	14
10		[8, 9, 10]	17
11		[8, 9, 11]	24
12		[8, 12]	13
13		[13]	5
14		[13, 14]	8
15		[13, 15]	15
16		[13, 16]	6
17		[13, 15, 17]	21
18		[13, 16, 18]	16
19		[1, 0, 19]	14


Forwarding Table for Node 2 at TIME_STEP 4:
Destination	Path	Cost
0		[1, 0]	13
1		[1]	4
3		[3]	2
4		[7, 4]	12
5		[8, 6, 5]	11
6		[8, 6]	6
7		[7]	5
8		[8]	1
9		[8, 12, 9]	4
10		[8, 12, 9, 10]	7
11		[8, 12, 9, 11]	9
12		[8, 12]	3
13		[13]	4
14		[13, 14]	11
15		[13, 15]	12
16		[13, 16]	14
17		[13, 15, 17]	20
18		[13, 16, 18]	24
19		[13, 15, 19]	13


Forwarding Table for Node 2 at TIME_STEP 5:
Destination	Path	Cost
0		[13, 15, 19, 0]	11
1		[1]	8
3		[8, 3]	6
4		[7, 4]	9
5		[8, 6, 5]	11
6		[8, 6]	7
7		[7]	3
8		[8]	1
9		[8, 9]	2
10		[8, 9, 10]	6
11		[8, 9, 11]	7
12		[8, 12]	6
13		[13]	3
14		[13, 14]	12
15		[13, 15]	7
16		[13, 16]	5
17		[13, 15, 17]	14
18		[13, 16, 18]	8
19		[13, 15, 19]	8


Forwarding Table for Node 2 at TIME_STEP 6:
Destination	Path	Cost
0		[1, 0]	9
1		[1]	2
3		[8, 3]	6
4		[7, 4]	10
5		[8, 6, 5]	12
6		[8, 6]	6
7		[7]	6
8		[8]	2
9		[8, 9]	5
10		[8, 9, 10]	15
11		[8, 9, 11]	11
12		[8, 12]	3
13		[13]	7
14		[13, 14]	10
15		[13, 15]	13
16		[13, 16]	17
17		[13, 15, 17]	23
18		[13, 16, 18]	18
19		[13, 15, 19]	15


Forwarding Table for Node 2 at TIME_STEP 7:
Destination	Path	Cost
0		[1, 0]	5
1		[1]	4
3		[3]	7
4		[7, 6, 5, 4]	13
5		[7, 6, 5]	12
6		[7, 6]	9
7		[7]	6
8		[8]	8
9		[8, 9]	9
10		[8, 9, 10]	14
11		[8, 9, 11]	13
12		[8, 12]	13
13		[13]	9
14		[13, 14]	19
15		[13, 15]	14
16		[13, 16]	16
17		[13, 15, 17]	24
18		[13, 16, 18]	21
19		[1, 0, 19]	14


Forwarding Table for Node 2 at TIME_STEP 8:
Destination	Path	Cost
0		[1, 0]	11
1		[1]	9
3		[3]	5
4		[7, 4]	9
5		[7, 4, 5]	10
6		[13, 8, 6]	9
7		[7]	8
8		[13, 8]	6
9		[13, 8, 12, 9]	8
10		[13, 8, 12, 9, 10]	14
11		[13, 8, 12, 9, 11]	17
12		[13, 8, 12]	7
13		[13]	4
14		[13, 14]	7
15		[13, 15]	6
16		[13, 16]	14
17		[13, 15, 17]	9
18		[13, 16, 18]	16
19		[13, 15, 19]	8


Forwarding Table for Node 2 at TIME_STEP 9:
Destination	Path	Cost
0		[1, 0]	14
1		[1]	9
3		[3]	7
4		[7, 4]	12
5		[7, 4, 5]	18
6		[8, 6]	17
7		[7]	9
8		[8]	7
9		[8, 12, 9]	16
10		[8, 12, 9, 10]	17
11		[8, 12, 9, 11]	25
12		[8, 12]	8
13		[13]	4
14		[13, 14]	9
15		[13, 15]	13
16		[13, 16]	11
17		[13, 15, 17]	23
18		[13, 16, 18]	19
19		[13, 15, 19]	20


Forwarding Table for Node 2 at TIME_STEP 10:
Destination	Path	Cost
0		[1, 0]	13
1		[1]	9
3		[3]	1
4		[7, 4]	8
5		[8, 6, 5]	9
6		[8, 6]	4
7		[7]	2
8		[8]	2
9		[8, 9]	12
10		[8, 9, 10]	21
11		[8, 9, 11]	13
12		[8, 12]	11
13		[8, 13]	3
14		[8, 13, 14]	8
15		[8, 13, 15]	4
16		[8, 13, 16]	12
17		[8, 13, 15, 17]	8
18		[8, 13, 16, 18]	17
19		[8, 13, 15, 19]	10


Forwarding Table for Node 2 at TIME_STEP 11:
Destination	Path	Cost
0		[1, 0]	3
1		[1]	2
3		[3]	2
4		[7, 4]	8
5		[7, 6, 5]	11
6		[7, 6]	8
7		[7]	4
8		[8]	2
9		[8, 9]	6
10		[8, 9, 10]	7
11		[8, 9, 11]	12
12		[8, 12]	9
13		[8, 13]	5
14		[8, 13, 14]	12
15		[8, 13, 15]	6
16		[8, 13, 16]	11
17		[8, 13, 15, 17]	9
18		[8, 13, 16, 18]	13
19		[1, 0, 19]	6


Forwarding Table for Node 2 at TIME_STEP 12:
Destination	Path	Cost
0		[1, 0]	16
1		[1]	7
3		[3]	5
4		[7, 4]	5
5		[7, 4, 5]	14
6		[8, 6]	10
7		[7]	2
8		[8]	1
9		[8, 9]	8
10		[8, 9, 10]	16
11		[8, 9, 11]	12
12		[8, 12]	11
13		[8, 13]	5
14		[8, 13, 14]	10
15		[8, 13, 15]	15
16		[8, 13, 16]	9
17		[8, 13, 15, 17]	16
18		[8, 13, 16, 18]	11
19		[1, 0, 19]	19


Forwarding Table for Node 2 at TIME_STEP 13:
Destination	Path	Cost
0		[1, 0]	13
1		[1]	4
3		[3]	4
4		[3, 7, 4]	10
5		[3, 7, 4, 5]	11
6		[3, 7, 6]	11
7		[3, 7]	7
8		[8]	2
9		[8, 9]	6
10		[8, 9, 10]	13
11		[8, 9, 11]	15
12		[8, 9, 12]	9
13		[13]	3
14		[13, 14]	12
15		[13, 15]	9
16		[13, 16]	9
17		[13, 15, 17]	18
18		[13, 16, 18]	12
19		[13, 15, 19]	16


Forwarding Table for Node 2 at TIME_STEP 14:
Destination	Path	Cost
0		[1, 0]	6
1		[1]	2
3		[3]	8
4		[7, 4]	7
5		[7, 4, 5]	13
6		[8, 6]	7
7		[7]	4
8		[8]	6
9		[8, 9]	8
10		[8, 9, 10]	18
11		[8, 9, 11]	11
12		[8, 12]	7
13		[13]	5
14		[13, 14]	9
15		[13, 15]	9
16		[13, 16]	8
17		[13, 15, 17]	14
18		[13, 16, 18]	10
19		[13, 15, 19]	10


Forwarding Table for Node 2 at TIME_STEP 15:
Destination	Path	Cost
0		[1, 0]	10
1		[1]	7
3		[3]	1
4		[3, 7, 4]	10
5		[8, 6, 5]	11
6		[8, 6]	10
7		[3, 7]	7
8		[8]	2
9		[8, 9]	5
10		[8, 9, 10]	13
11		[8, 9, 11]	15
12		[8, 12]	7
13		[13]	3
14		[13, 14]	10
15		[13, 15]	10
16		[13, 16]	4
17		[13, 15, 17]	18
18		[13, 16, 18]	11
19		[13, 15, 19]	11


Forwarding Table for Node 2 at TIME_STEP 16:
Destination	Path	Cost
0		[1, 0]	4
1		[1]	2
3		[3]	3
4		[7, 4]	6
5		[7, 6, 5]	10
